  x  y  f
      938.907      2145.86      54311.6
      1117.42      1307.21      54245.6
      1651.94      2256.19      54125.2
      1448.52      2219.34      54096.7
      564.240      1523.39      54057.1
      1498.80      2239.02      54001.4
      684.819      2539.02      53946.2
      522.414      1317.27      53815.3
      864.085      2426.23      53794.4
      1602.91      1449.01      53764.3
      2530.80      2330.41      53663.9
      1636.68      2040.97      53589.6
      1072.17      1889.43      53514.5
      2515.72      179.377      53418.0
      1607.13      896.299      53397.4
      1346.37      2295.22      53284.4
      856.841      1670.58      53254.3
      582.175      1845.33      53021.8
      962.329      1941.40      52880.1
      2077.35      1787.66      52808.0
      542.256      1628.34      52691.0
      1995.31      1567.35      52311.9
      689.302      1341.08      52100.1
      2179.07      1585.76      51973.3
      1014.53      909.394      51837.9
      1778.77      1706.30      51727.1
      878.981      1899.21      51473.3
      1072.70      1873.85      51301.5
      855.174      1713.26      51039.5
      1553.80      1520.65      51030.7
      826.700      1943.72      50915.7
      1089.65      1616.22      50886.8
      1125.54      1603.42      50468.7
      735.996      1219.28      50393.0
      569.714      1398.55      50364.8
      1237.28      2079.19      50225.9
      1623.97      1753.56      50134.2
      1257.37      1573.90      50127.6
      445.262      1995.10      49757.0
      927.798      1467.35      49712.5
      1577.97      1398.22      49461.8
      1551.06      1451.61      49429.1
      815.388      1805.70      49368.6
      1031.94      1921.19      49189.3
      970.965      2287.13      49165.4
      1592.62      1556.26      49020.9
      1789.15      1400.26      48990.5
      2067.61      1930.33      48626.9
      780.460      1344.25      48593.4
      1502.16      2534.13      48558.3
      1073.05      2285.51      48508.9
      1501.57      2067.40      48462.7
      1019.32      1084.15      48335.8
      1313.64      2339.88      48308.4
      2151.62      1256.45      48119.6
      1788.12      1953.29      48047.5
      1599.81      1424.44      47731.9
      2103.60      1050.41      47242.5
      858.175      2032.76      47106.5
      2054.69      1671.83      47106.3
      2024.19      1539.71      47099.7
      1775.17      2429.01      47077.2
      1427.85      2196.39      47063.9
      963.592      1909.05      47040.7
      1634.81      1444.25      46962.0
      846.839      1036.22      46828.5
      644.190      1655.46      46777.4
      1299.50      2417.64      46651.6
      1945.65      1725.98      46528.2
      1268.02      2258.75      46472.9
      1259.25      1854.46      46303.7
      590.775      1475.83      46297.3
      1647.35      1015.20      46131.1
      1212.24      1887.49      46101.0
      1487.95      976.124      46098.9
      1355.38      1402.46      46048.8
      1709.83      2284.51      45831.3
      1852.12      1631.99      45612.6
      1123.18      2221.49      45364.7
      1645.26      2234.49      45298.8
      508.579      755.081      45161.5
      2087.64      2137.31      45114.5
      741.194      1684.23      44931.7
      968.467      896.179      44813.6
      2178.39      900.041      44785.2
      1179.95      1951.03      44689.0
      1032.97      1838.27      44484.8
      1999.96      2243.11      44432.7
      1885.75      1200.37      44349.4
      1613.83      1688.41      44288.4
      1390.93      1923.25      44046.7
      1755.68      1654.37      44023.5
      2085.27      2482.26      43955.6
      1407.58      2021.01      43927.1
      2388.25      1434.30      43858.5
      1727.21      2015.44      43855.3
      1529.84      1888.31      43823.9
      68.5508      977.191      43810.9
      1757.95      1686.47      43582.8
      1682.72      1451.23      43525.2
      1760.43      781.205      43502.3
      1851.91      1417.62      43417.6
      751.646      1345.98      43397.2
      932.228      2152.49      43175.0
      981.074      1706.79      43029.4
      1084.45      1065.89      43006.4
      1583.92      792.128      42978.6
      1084.77      1003.89      42926.2
      1329.06      2325.26      42885.8
      1533.59      1509.19      42839.0
      2131.31      2517.43      42817.0
      868.156      1182.11      42807.8
      2203.38      804.084      42789.5
      670.371      1479.43      42681.8
      1314.17      2569.55      42618.6
      1881.96      1630.48      42577.6
      1028.40      1026.91      42556.5
      2123.34      1991.15      42525.3
      2273.67      950.574      42518.5
      975.467      1079.86      42399.7
      822.478      863.312      42324.1
      2421.35      1530.28      42134.9
      1789.89      1905.49      41999.4
      1584.13      1211.84      41933.5
      1926.14      1568.82      41903.5
      1247.54      1259.43      41832.5
      1152.54      2489.28      41827.8
      1571.66      1256.79      41630.9
      1095.50      1643.25      41618.9
      1480.57      1944.45      41574.0
      496.171      825.208      41542.6
      753.181      1546.50      41482.4
      1126.10      1950.44      41418.9
      1263.44      1355.40      41353.2
      1058.19      2506.99      41348.5
      975.104      1691.40      41075.0
      2330.93      1336.67      41009.6
      816.204      1560.98      40997.1
      478.751      1682.40      40908.4
      735.865      2114.16      40795.8
      994.548      424.655      40753.1
      1181.08      1865.83      40724.6
      887.318      1724.33      40633.8
      1058.80      844.239      40557.3
      2554.61      474.283      40519.6
      1595.89      684.058      40465.5
      2312.40      1352.81      40365.0
      1492.08      1606.14      40295.8
      2082.26      1513.50      40258.7
      1972.61      1718.47      40245.1
      1670.13      1195.41      40173.9
      1253.45      1208.18      40160.6
      1733.10      1550.30      40095.7
      2414.57      1827.45      40009.5
      2458.60      144.290      39940.2
      1417.89      2175.97      39910.9
      1751.27      1625.25      39853.7
      2031.08      740.300      39762.4
      803.829      2161.12      39720.7
      1716.48      1207.56      39641.9
      1556.99      2240.42      39553.4
      2391.65      1617.37      39473.3
      1467.61      2432.77      39471.0
      1012.81      1345.19      39470.0
      1891.38      2130.41      39456.4
      1724.52      1739.08      39420.8
      1539.38      1385.20      39418.5
      2267.24      2366.43      39298.7
      2246.91      1359.77      39282.7
      1620.91      1144.14      39274.0
      1218.16      1272.64      39259.2
      773.633      734.691      39108.4
      1027.45      2086.13      38881.2
      1870.22      889.989      38746.4
      874.488      611.926      38632.7
      1750.30      1556.19      38610.6
      1709.39      1990.18      38482.4
      683.789      1537.48      38481.8
      1602.89      1656.29      38441.7
      1842.59      804.376      38405.1
      2100.98      1540.09      38246.4
      712.600      1579.03      38135.6
      2009.83      1362.07      38050.7
      1535.28      2061.46      38030.5
      1788.72      2118.09      37918.0
      2399.04      1130.92      37760.7
      874.361      1080.73      37753.1
      2215.76      1816.65      37750.5
      795.909      379.407      37681.2
      1739.90      932.854      37605.9
      1615.08      2061.58      37552.4
      1109.78      2495.30      37549.6
      2215.98      1917.17      37549.2
      876.403      654.071      37547.4
      1990.56      939.523      37413.2
      2340.76      2122.78      37342.0
      1026.48      1110.47      37337.4
      2089.67      1440.71      37306.2
      564.493      1155.97      37271.6
      988.060      1696.15      37268.4
      911.143      1924.01      37267.4
      1200.13      1519.29      37249.4
      1507.01      2128.43      37231.5
      791.110      827.035      37204.8
      1962.86      1546.35      37141.3
      1271.50      923.678      36989.9
      1504.46      2046.39      36943.9
      1434.25      1500.09      36910.7
      1301.17      1466.95      36870.2
      685.017      1630.09      36844.8
      1620.38      1052.22      36649.5
      1521.57      2452.19      36487.6
      2148.13      1561.38      36483.6
      1556.47      885.968      36365.2
      1746.63      2119.95      36165.2
      406.026      1334.62      36153.4
      1156.71      2293.50      36141.8
      956.435      2470.94      36136.3
      2246.52      1377.76      36100.6
      1231.19      1000.17      36062.2
      2404.98      1647.69      36056.8
      2159.56      2509.42      36015.6
      810.809      888.600      35951.6
      2237.56      2199.15      35948.8
      1482.65      2402.47      35898.2
      1309.85      1593.81      35794.3
      2418.33      1658.34      35689.6
      2015.23      1734.26      35667.0
      1365.69      1957.01      35659.9
      409.041      1523.40      35592.0
      1174.09      1685.86      35417.0
      962.665      1275.44      35350.0
      2023.91      1720.37      35141.5
      772.328      993.190      35074.6
      2230.88      1053.45      35069.7
      1580.00      1568.61      35006.0
      1953.16      1409.93      34996.4
      1666.37      1902.11      34977.2
      996.866      1385.37      34818.4
      1389.11      1776.08      34775.3
      483.231      1373.89      34746.8
      2174.69      1674.60      34732.1
      1577.74      2115.05      34728.1
      1911.43      1801.35      34659.6
      1051.80      2394.25      34524.6
      2155.72      1575.23      34451.9
      804.653      1248.77      34434.9
      2054.49      2466.65      34413.2
      2175.25      1733.25      34401.4
      952.239      1724.52      34394.0
      1336.33      1004.95      34331.2
      1914.99      2538.34      34327.1
      1598.55      1966.45      34305.1
      967.270      2057.39      34241.2
      2299.61      1297.03      34206.5
      724.535      2161.39      34192.6
      1701.22      1907.47      34038.9
      1606.11      1302.10      33985.3
      1898.17      2476.45      33964.9
      935.989      1404.65      33899.0
      2060.53      1691.25      33894.9
      799.144      1498.32      33856.6
      844.675      2053.53      33845.1
      994.527      1736.82      33840.5
      1401.76      2282.01      33819.0
      371.565      604.358      33752.3
      844.581      1061.96      33737.1
      666.196      611.147      33720.5
      409.698      869.407      33663.6
      2406.58      2085.46      33540.0
      1234.93      2573.48      33492.5
      1588.53      1440.16      33441.6
      835.790      662.476      33280.5
      1117.14      2481.18      33205.5
      1513.07      787.217      33117.7
      1997.28      2571.61      33086.7
      2378.38      1733.99      33054.3
      1806.35      2017.79      33037.5
      1128.67      1941.13      32986.3
      1643.84      1335.57      32947.6
      713.716      1294.92      32895.7
      932.031      1224.37      32835.9
      2493.52      337.279      32820.7
      757.318      2083.19      32819.4
      1051.83      1947.20      32691.1
      1228.54      601.166      32653.5
      764.030      1237.89      32563.3
      1467.39      1692.14      32550.5
      2119.98      1520.74      32525.4
      2347.99      2318.40      32470.0
      1476.04      1777.88      32457.6
      1445.85      863.385      32408.7
      1705.93      1532.07      32278.5
      983.877      1650.39      32244.6
      721.673      1404.35      32208.6
      2230.00      1278.53      32188.0
      2416.48      1516.86      32141.7
      2052.85      2549.41      32074.0
      2185.97      2408.91      31975.4
      1517.28      2552.28      31819.1
      1306.93      1790.43      31814.8
      1444.88      2002.49      31784.1
      879.953      2113.42      31756.4
      1758.04      1639.96      31744.1
      1014.10      2295.93      31709.6
      939.846      2163.40      31625.4
      1489.74      2294.56      31594.8
      799.620      2416.91      31576.2
      1340.62      1187.37      31503.0
      1194.11      475.976      31495.9
      751.158      2000.75      31489.9
      2135.88      2423.05      31413.3
      1517.14      1084.74      31398.9
      1632.39      1990.48      31386.8
      1739.28      1404.60      31302.5
      1002.24      339.637      31279.1
      336.573      859.483      31272.7
