            x            y            a            d            m            sx            sy             sm            c
   605.338196  1238.775879   266.464302   -28.726710    13.165584     0.001595     0.002316     0.001813     0.973114
   627.649536  1524.876343   266.436616   -28.714448    13.176643     0.002432     0.002210     0.001474     0.983102
  1189.132080   860.196655   266.466610   -28.792627    13.185336     0.002413     0.002236     0.001482     0.984926
   443.976959  1333.565063   266.464575   -28.708974    13.187706     0.002412     0.002284     0.001492     0.981915
   370.553741   563.774292   266.539838   -28.740852    13.193630     0.002488     0.002271     0.001504     0.988209
   430.409485  1502.586792   266.449718   -28.699564    13.193819     0.002494     0.002311     0.001512     0.977794
   670.528198  1133.746704   266.470360   -28.737156    13.195076     0.002494     0.002282     0.001508     0.988614
   936.957520  1568.792847   266.415233   -28.737345    13.208636     0.002454     0.002285     0.001512     0.987295
   425.072205  1103.892822   266.486858   -28.718733    13.209580     0.002453     0.002264     0.001510     0.990840
   657.868469   784.711609   266.503335   -28.753285    13.219486     0.002496     0.002332     0.001533     0.985451
  1386.102417   223.501038   266.514479   -28.839883    13.222618     0.002505     0.002368     0.001544     0.984696
   646.835754    95.458916   266.567701   -28.786246    13.224744     0.002521     0.002373     0.001549     0.981627
   567.077637   288.525940   266.554302   -28.770300    13.225812     0.002509     0.002374     0.001547     0.988461
  1199.635498  1502.257812   266.406662   -28.761897    13.229168     0.002563     0.002354     0.001554     0.987042
   573.880066   556.479980   266.529139   -28.757691    13.235656     0.002548     0.002387     0.001802     0.811107
   823.714355  1225.493408   266.453303   -28.745057    13.242699     0.002590     0.002420     0.001580     0.991203
   382.613983  1106.170776   266.489023   -28.715180    13.245743     0.002600     0.002367     0.001574     0.979579
   803.843933   164.326294   266.552547   -28.795593    13.247648     0.002568     0.002403     0.001576     0.984692
   648.284485  1249.636719   266.460894   -28.729655    13.268582     0.002648     0.002464     0.001613     0.982939
   933.847961   874.307556   266.479602   -28.771247    13.274148     0.002630     0.002457     0.001614     0.987782
   715.377197   480.257385   266.528271   -28.772905    13.290699     0.002715     0.002492     0.001646     0.985917
  1270.473145   471.297394   266.498026   -28.818335    13.298185     0.002746     0.002522     0.001662     0.987575
  1061.658813   260.057831   266.529262   -28.811789    13.324107     0.002781     0.002520     0.001686     0.984764
  1098.605347  1440.044678   266.418074   -28.756774    13.326616     0.002796     0.002526     0.001691     0.988684
   589.984863  1181.048340   266.470497   -28.728304    13.340002     0.002760     0.002543     0.001700     0.989860
   807.776428  1369.261597   266.440908   -28.736695    13.345438     0.002822     0.002615     0.001724     0.988113
  1487.283325   112.327736   266.519102   -28.853546    13.352758     0.002860     0.002654     0.001743     0.984077
   574.316711   553.039246   266.529433   -28.757896    13.369630     0.002907     0.002920     0.001845     0.978634
  1457.689331   654.598633   266.470581   -28.824497    13.371731     0.002920     0.002718     0.001776     0.977322
   423.397583  1110.547852   266.486336   -28.718270    13.373734     0.002943     0.002732     0.001786     0.982302
   382.630066  1406.180542   266.461299   -28.700433    13.379406     0.002939     0.002680     0.001780     0.985788
   538.210693   294.438446   266.555369   -28.767670    13.386628     0.002937     0.002756     0.001800     0.978584
   488.810608  1422.551147   266.453843   -28.708232    13.388697     0.002937     0.002761     0.001800     0.986212
   781.531433   111.440712   266.558688   -28.796381    13.390205     0.002995     0.002774     0.001815     0.981139
   600.901550  1241.351440   266.464313   -28.726223    13.390712     0.002936     0.002752     0.001819     0.985081
   430.566010  1055.997559   266.490977   -28.721532    13.394259     0.002980     0.002686     0.001801     0.993720
  1057.388306   214.854416   266.533683   -28.813664    13.394583     0.002981     0.002709     0.001805     0.974660
   616.981445  1096.154663   266.476832   -28.734665    13.398640     0.002919     0.002707     0.001799     0.984145
  1129.568237   436.359589   266.509149   -28.808632    13.413209     0.003053     0.002818     0.001849     0.981089
   504.880920   627.542419   266.526428   -28.748608    13.415447     0.002994     0.002827     0.001843     0.983045
   700.618835   463.734589   266.530625   -28.772520    13.415753     0.003046     0.002798     0.001845     0.985010
   858.707031   661.576660   266.503481   -28.775613    13.427269     0.003070     0.002863     0.001869     0.983244
   914.312805   303.620819   266.533478   -28.797706    13.427969     0.003075     0.002858     0.001870     0.978301
   736.116089   353.678070   266.538819   -28.780803    13.441110     0.003060     0.002869     0.001881     0.978112
   652.861633  1133.445801   266.471377   -28.735739    13.455167     0.003111     0.002932     0.001913     0.978867
  1421.754517   285.475830   266.506747   -28.839727    13.458964     0.003150     0.002950     0.001926     0.989399
   550.082764   435.658569   266.541644   -28.761697    13.469416     0.003135     0.002948     0.001931     0.982393
  1359.671753   719.527039   266.470067   -28.813362    13.486846     0.003252     0.003031     0.001978     0.990428
   426.943634  1415.493286   266.457959   -28.703566    13.497275     0.003219     0.003048     0.001988     0.991215
  1253.754883   973.507080   266.452511   -28.792292    13.508421     0.003296     0.003088     0.002014     0.994708
   420.220673  1395.410767   266.460191   -28.704009    13.508707     0.003289     0.003080     0.002013     0.982970
  1241.987915   456.492035   266.500991   -28.816754    13.513892     0.003262     0.003091     0.002018     0.988368
  1151.402344    50.785416   266.543603   -28.829343    13.527208     0.003376     0.003084     0.002044     0.980955
  1100.843506   773.147095   266.479605   -28.789752    13.533933     0.003329     0.003068     0.002041     0.983459
  1467.711304   602.628113   266.474828   -28.827864    13.540989     0.003405     0.003169     0.002073     0.980478
   336.444122  1497.736084   266.455426   -28.692189    13.543565     0.003433     0.003145     0.002080     0.974852
